Refill,Ξαναγεμίζω
Toner cartridge ,Μελανάκι (εκτυπωτή)
Address,Αντιμετωπίζω / απευθύνομαι
Delegate,"Αναθέτω (καθήκον, ευθύνη)"
Authorities,Αρχές
Spacious,Ευρύχωρος
Shower,"Βροχή, μπόρα"
Unnerving,"Αγχωτικός, τρομακτικός"
Exhilarating,"Απολαυστικός, συναρπαστικός"
Invigorating,Αναζωογονητικός
Posture,Στάση (σώματος)
Strenuous,"Επίπονος, κουραστικός"
Recognition,Αναγνώριση
Moisturising,Ενυδατικός
Suntan lotion,Αντηλιακή κρέμα
Kit,Εργαλειοθήκη
Tape,Κολλητική ταινία
Volatitle,Ασταθής
Service garage,Συνεργείο αυτοκινήτων
Four-wheel drive,Κίνηση στους τέσσερις τροχούς
Look sth up,"Ψάχνω κτ (σε λεξικό, Ίντερνετ)"
Swoop,"Βουτιά, πτώση"
Heart in sb’s mouth,"Αγχωμένος, τρομαγμένος"
Ache,Πονώ
Spinal,Σπόνδυλος
Stretch,Τεντώνω
Pale,"Ανοιχτός, απαλός / χλωμός"
Sample,Δείγμα
Copy down sth,"Σημειώνω, γράφω κτ"
Counter,Πάγκος
Bring sth back,Επαναφέρω κτ
Sponsor,Χρηματοδοτώ
Praise,"Έπαινος, εγκώμιο"
Lobster,Αστακός
Transfer,Μεταφέρω
Tricky,"Δύσκολος, ζόρικος"
Hold down sth,Κρατώ πατημένο κτ
Select,Επιλέγω
Highlight,"Μαρκάρω, τονίζω"
Give up on sb/sth,"Εγκαταλείπω, παρατώ κπ/κτ"
Drowsy,Νυσταγμένος
As easy as pie,Πανεύκολος
Drag,Σέρνω
Hopeless,"Ανίκανος, άσχετος"
Sort sth out,"Τακτοποιώ, διευθετώ κτ"
Carry on,Συνεχίζω
Southbound,Προς το Νότο
It’s freezing ,Κάνει παγωνιά
Under sb’s roof,Στο σπίτι κπ
Slip,"Χειροτερεύω, πέφτω (για απόδοση)"
Candidate,Υποψήφιος
Profitable,"Επικερδής, κερδοφόρος"
Unmotivated ,"Αδιάφορος, χωρίς κίνητρο"
Make up for,Αποζημιώνω
Significant,"Σημαντικός, σπουδαίος"
Pick up sth,Αποκτώ κτ
Action-oriented,Δραστήριος
Stand a chance of doing sth,Έχω πιθανότητα να πετύχω κτ
Flourish,Ανθίζω
Swift,Γρήγορος
Decisive,Αποφασιστικός
Element,"Παράγοντας, στοιχείο"
Essential,"Απαραίτητος, ουσίωδης"
Foundation,Θεμέλιο
Supervise,"Επιβλέπω, επιτηρώ"
Carry out sth,"Εκτελώ, διεξάγω κτ"
Fit in,"Ταιριάζω, προσαρμόζομαι"
In tems of ,Όσον αφορά
Paramount,Υψίστης σημασίας
Get on with sb,Τα πηγαίνω καλά με κπ
Recruit,Προσλαμβάνω / στρατολογώ
Last,"Διαρκώ, αντέχω"
Do wonders,Κάνω θαύματα
Ultimately,Τελικά
Independence ,Ανεξαρτησία
Flexible,"Επιεικής, ελαστικός"
Innate,"Έμφυτος, εγγενής"
Motion capture,Κινηματογραφική ταινία
Era,"Εποχή, περίοδος"
Silent,"Βουβός, σιωπηλός"
