Slim,"Αδύνατος, λεπτός"
Overcharge,Υπερχρεώνω
Set sth up,"Οργανώνω, στήνω κτ"
Royal,Βασιλικός
Vending machine,Αυτόματη μηχανή πώλησης
Reset,Κάνω επαναφορά ρυθμίσεων
Remote control,Τηλεχειριστήριο
Aggravated,"Ενοχλημένος, εκνευρισμένος"
Considerate,"Ευγενικός, συμπονετικός"
Carbohydrate,Υδατάνθρακας
Pasta,Ζυμαρικά
Place an order,"Δίνω, υποβάλλω παραγγελία"
Ruin,Καταστρέφω
Mall,Εμπορικό κέντρο
Let the cat out of the bag ,Αποκαλύπτω μυστικό
Smart,Κομψός / έξυπνος
Arts and crafts ,Εικαστικά
Flea market ,"Υπαίθρια αγορά, παζάρι"
Complicated ,Πολύπλοπκος
Nuisance,"Μπελάς, πρόβλημα"
Knitting,Πλέξιμο
Intimate,"Οικείος, προσωπικός"
Elegant,"Κομψός, όμορφος, στιλάτος"
Current,"Τρέχων, τωρινός"
Taste,Γούστο
Willing,"Πρόθυμος, διατεθειμένος"
Stretch,"Φτάνω (για ποσό), εκτείνομαι"
Indigo,Βαθύ μπλε χρώμα
Smashing,Καταπληκτικός
Be taken with sth,Με συνεπαίρνει κτ
Chunky,Ογκώδης
Gorgeous,"Πανέμορφος, υπέροχος "
Reasonable,"Λογικός, προσιτός (τιμή)"
Likewise ,Παρομοίως
Backpacking,Ταξίδι με σακίδιο πλάτης
Head for ,Κατευθύνομαι προς
Fancy (doing),"Θέλω, έχω ανάγκη (να κάνω)"
Poltergeist,"Φάντασμα, στοιχειό"
Make it,"Τα καταφέρνω, πατυχαίνω"
Pop,“Πετάγομαι” κάπου
Proposition,Πρόταση
Make it up to sb,Επανορθώνω για κτ
Keep sb to sb’s word,Περιμένω από κπ να κρατήσει τον λόγο του
Gap year,Ενδιάμεσο έτος (μετά λυκείου και πανεπιστημίου)
Entrance exams,Εισαγωγικές εξετάσεις (σε εκπαιδευτικό ίδρυμα)
Motivation,Κίνητρο
Mentally,"Πνευματικά, νοητικά"
Ample,"Άφθονος, αρκετός"
Extracurricular,Εξωσχολικός
Break the habit of,Σταματάω συνήθεια
Regular,Τακτικός
Volunteer,Προσφέρω εθελοντική εργασία
Assert,"Ισχυρίζομαι, υποστηρίζω"
Commitment,Αφοσίωση
Strengthen ,"Ενισχύω, δυναμώνω"
CV,Βιογραφικό σημείωμα
Counterproductive,Αντιπαραγωγικός
Extended ,"Παρατεταμένος, εκτενής"
Get out of the habit of,Σταματάω συνήθεια
Further ,Συνεχίζω / εξελίσσω
Undergraduate,Προπτυχιακός φοιτητής
Fellow student,Συμφοιτητής
Proceed with sth,Συνεχίζω με κτ
Apparent,"Προφανής, ξεκάθαρος"
Consideration,"Σκέψη, μελέτη"
Reach a consensus,Καταλήγω σε συμφωνία
