Exhausted ,Εξαντλημένος
Give sb a ride,Πηγαίνω κπ κάπου με αμάξι
Accompany,Συνοδεύω
Schedule,Προγραμματίζω 
Unpleasant,Δυσάρεστος
Turbulence,Αναταράξεις
Envelope,Φάκελος
Permission,Άδεια
Be keen on,Μου αρέσει
Broken-down,Χαλασμένος
Petrol station,Βενζινάδικο
(Roadside) assistance,(Οδική) βοήθεια
Be sick of,"Βαρέθηκα, κουράστηκα"
Work overtime,Κάνω υπερωρίες
Be given the sack,Απολύομαι
Dressed to kill,Ντυμένος “στην τρίχα”
Occasion,Περίσταση
The life and soul of the party,“Η ψυχή του πάρτι”
Blush,Κοκκινίζω
Outgoing,"Κοινωνικός, εξωστρεφής"
Smooth,"Ήρεμος, ομαλός"
Pour down,Βρέχω καταρρακτωδώς
Get drenched ,Γίνομαι μούσκεμα 
Charge,Χρεώνω
Speeding ticket ,Κλήση για υπερβολική ταχύτητα
Reckless,"Απερίσκεπτος, ριψοκίνδυνος"
Flop,Αποτυχία
Favourable,Ευνοϊκός
Be up for,Έχω όρεξη για
Couch potato,Τεμπέλης
On hold,Σε αναμονή
Carry-on bag,Χειραποσκευή
Baggage sizer,Μετρητής διαστάσεων χειραποσκευής
Handle,Χερούλι
Wheel, Ρόδα
Irritated,Εκνευρισμένος
Drop out of ,"Παρατάω (σπουδές, σχολείο)"
Dorm,Φοιτητική εστία
On campus,Στο χώρο του πανεπιστημίου
Be worthy of ,Αξίζω
Duty,"Υποχρέωση, καθήκον"
Exceed,"Ξεπερνώ, υπερβαίνω"
Restriction,Περιορισμός
Ridiculous,Γελοίος
Determined,Αποφασισμένος
I bet,Είμαι σίγουρος
Drive,Διαδρομή με αυτοκίνητο
Deserve,Αξίζω
In the meantime,Εν τω μεταξύ
Be/get acquainted with,Εξοικειώνομαι με
Requirement," Ανάγκη, απαίτηση"
Call of sth,"Απαιτώ, επιβάλλω κτ"
Deforestation,Αποψίλωση
Factor,"Παράγοντας, αιτία"
Fuel,Καύσιμο
Conversion,Μετατροπή
Rapidly,"Ραγδαία, ταχύτατα"
Hospitable,"Ευνοϊκός, φιλόξενος"
Severe,"Σοβαρός, σφοδρός"
Loss,Απώλεια
Undeniable,Αδιαμφισβήτητος
Rate,Ρυθμός
Affect,Επηρεάζω
Drive (sth) to,Οδηγώ/ωθώ (κτ) σε 
Extinction,"Εξάλειψη, εξαφάνιση"
Growth,Αύξηση
Cattle,Βοοειδή
Grazing,Βοσκή
Housing,"Κατοικίες, σπίτια"
Destruction ,Καταστροφή
Absorb,Απορροφώ
Greenhouse gas ,Αέριο θερμοκηπίου 
Pollutant,Ρύπος
Forest clearance,Αποψίλωση
Natural habitat,Φυσικό περιβάλλον
