Disturb,Ενοχλώ
Ban sb from,Απαγορεύω σε κάποιον την εισοδο
Leak,Διαρροή
Imply,Υπονοώ 
Pipe,Σωλήνας
Protest against,Διαμαρτύρομαι κατά
Strike,Απεργία 
Permit,Επιτρέπω
Protest against,Διαμαρτύρομαι κατά
Negligence,Αμέλεια
Council,Συμβούλιο
Incur,Επιβαρύνομαι με
Lower,Μειώνω
Deter sb from doing,Αποτρέπω
Tax,Φόρος
Do away from sth,"Καταργώ, ξεφορτώνομαι"
Mop,Σφουγγαρίζω
Settle on,Καταλήγω σε
Purchase,Αγορά
Snowed under,Πνιγμένος στην δουλειά
Consult,Συμβουλεύω
Neat,Βολικός
Have confidence in sb/sth,Έχω εμπιστοσύνη σε
Stripy,Με γραμμές
Rescue,Διάσωση
Indicate,Υποδεικνύω
Call for sth,"Ζητώ, απαιτώ"
Emission,Εκπομπή (αερίου)
Policy,Πολιτική
Inferior,Κατώτερος
Permit,Επιτρέπω
Tempt,"Δελεάζω, προκαλώ"
Run into sb/sth,Πέφτω πάνω σε
Encounter,Αντιμετωπίζω
Tray,Δίσκος
Interfere with,Παρεμποδίζω
Have a word with sb,Λέω 2 λογάκια με κάποιον
Unlike,Σε αντίθεση με
Pay rise,Αύξηση μισθού
Frustration,"Πρόβλημα, απογοήτευση"
Show up,Εμφανίζομαι
Sloppy,Πρόχειρος
No wonder,Δεν είναι παράξενο
Spatial reasoning,Αίσθηση του χώρου
Muddy,Λασπωμένος
All told,Συνολικά
On board,Πάνω ή μέσα σε
Get through sth,Φέρνω εις πέρας κάτι
Dedicated,Αφοσιωμένος
Provision,Πρόβλεψη
Work out sth,Ρυθμίζω
Individualise,Εξατομικεύω
Take a chance,"Ρισκάρω, τολμώ"
Orally,Προφορικά
Scratch,Γρατζουνώ
Conscientious,Ευσυνείδητος
Sue sb for,Μηνύω κάποιον για
Associate with,Συσχετίζω με
Negligence,Αμέλεια
Facility,Διευκόλυνση
Incur,Επιβαρύνομαι με
Controversial,"Αμφιλεγόμενος, επίμαχος"
Escalator,Κυλιόμενη σκάλα
Employ,"Χρησιμοποιώ, εφαρμόζω"
Sprain,Στραμπουλώ
Socket,Πρίζα
Railing,Κιγκλίδωμα
Fossil fuel,Ορυκτό καύσιμο
Slippery,Ολισθηρός
Run on,Λειτουργώ με
Deter sb from doing,Αποτρέπω
Conventional,Συμβατικός
Honeymoon,Μήνας του μέλιτος
Outlet,Πρίζα
Best man,Κουμπάρος
Torque,Στροφορμή
Dreadful,Φοβισμένος
Commute,Διαδρομή
