,
(Bank)note,Χαρτονόμισμα
Change,"“Ψιλά”, κέρματα"
Bottled water,Εμφιαλωμένο νερό
Fill sth up,Γεμίζω κτ ως πάνω
Binoculars,Κιάλια
Cap,Καπάκι
Lens,Φακός
Properly,Σωστά
To-do list,Λίστα με δουλείες που πρέπει να γίνουν
Lack of ,Έλλειψη από
Postpone ,Αναβάλλω
(Cash) till,Ταμείο
Aisle,Διάδρομος (σε σουπερμάρκετ)
Rusty,"“Σκουριασμένος”, που τον έχω ξεχάσει"
Single ticket,Εισιτήριο μονής διαδρομής
Pop (into),“Πετάγομαι” κάπου
Break,“Χαλάω” (χαρτονόμισμα)
Float,Επιπλέω
Rip-off,"Απάτη, κλεψιά"
Tap water,Νερό βρύσης
Sink ,Νεροχύτης
Faulty,Ελαττωματικός
Well in advance,Πολύ νωρίτερα
Starve,"Λιμοκτονώ, πεθαίνω της πείνας"
Put sb to sleep,Κάνω κπ να βαρεθεί πολύ
Nonsense,Ανοησίες
Overworked,"Υπερφορτωμένος με δουλειά, εξαντλημένος"
Paperwork,Χαρτούρα / γραφειοκρατία
Be (as) right as rain,"Είμαι “περδίκι”, υγιής"
How are those figures coming?,Πως πάνε τα νούμερα;
Send sth in,"Αποστέλλω, υποβάλλω κτ"
Battle,Μάχη
Pigeon,Περιστέρι
Appalling,"Φρικτός, απάισιος"
Distinctive,"Ιδιαίτερος, χαρακτηριστικός"
A couple of ,Κάνα δυο
In suspense ,Σε αγωνία
Satisfactory,Ικανοποιητικός
Naval,Ναυτικός
Victory,Νίκη
Wound,Τραύμα
Column,"Στήλη, κολόνα"
Sculpt,"Σμιλεύω, δίνω μορφή"
Figure,"Φιγούρα, μορφή"
Eyesore,"Έκτρωμα, αηδία"
Spectacular,"Εντυπωσιακός, θεαματικός"
Stick out like a sore thumb,Ξεχωρίζω “σαν τη μύγα μες στο γάλα”
Flashy,"Κραυγαλέος, φανταχτερός"
Dignified ,Αξιοπρεπής
Outlook,"Προσωπική άποψη, προοπτική"
Shake things up,Προκαλώ μια ευχάριστη αλλαγή
In a new light,Από άλλη οπτική γωνία
Temporary,Προσωρινός
Functioning,Λειτουργικός
Spike,"Αιχμή, κορυφή"
Bar,"Κάγκελο, σίδερο"
Radical,Ριζοσπαστικός
Drop it,"“Το αφήνω”, παρατώ θέμα συζήτησης "
Binge-watch,Βλέπω επεισόδια σειράς το ένα μετά το άλλο
Cliff-hanger,Αγωνιώδες φινάλε
And so on,Και τα λοιπά
Crawl into bed,Χώνομαι στο κρεβάτι
Handle,(Δια)χειρίζομαι
In one go,"Μονομιάς, “με τη μία”"
Engaged in sth,Απορροφημένος από κτ
Rebellion,"Αντίδραση, επανάσταση"
Authority,"Εξουσία, αρχή"
Approval ,Έγκριση
Critical thinking ,Κριτική σκέψη
Cooperative relationship,Σχέση συνεργασίας
Genuine,"Πραγματικός, γνήσιος"
Disobedient,Ανυπάκουος
Struggle,"Πασχίζω, αγωνίζομαι / αγώνας"
Identity,Ταυτότητα
Resent,Απεχθάνομαι
Disapprove of,Αποδοκιμάζω 
Lead to,Οδηγώ σε 
Understanding,Που δείχνει κατανόηση
Sincere,Ειλικρινής
Mild,"Ελαφρύς, ήπιος"
Growth,Ανάπτυξη
Maturity ,Ωριμότητα 
Impose,Επιβάλλω
Severely,"Σοβαρά, πολύ"
Strained,Τεταμένος
Aggressive ,Επιθετικός
Biodiversity,Βιοποικιλότητα
The globe,"Ο κόσμος, η γη"
Precipitation,Βροχόπτωση
Altitude,Υψόμετρο
Measure,"Υπολογίζω, -ομαι"
Terrestrial,Επίγειος
Welfare,Ευημερία
(Natural) resources,(Φυσικοί) πόροι
Constitute,Αποτελώ
Mammal,Θηλαστικό
Make up,Αποτελώ
Domestic livestock production,Εγχώρια ζωική παραγωγή
Prescribe,Συνταγογραφώ (φάρμακο)
Derive from,Προέρχομαι από
Inhumanely,Απάνθρωπα
Innumerable,Αμέτρητος
Vaccine,Εμβόλιο
Fatal,Θανατηφόρος
Degradation,Υποβάθμιση
Disruption,Διαταραχή
Adverse,"Ανεπιθύμητος, δυσμενής"
Trigger,Προκαλώ
Migration,Μετανάστευση
On occasion,Περιστασιακά
Needless to say,Περιττό να πούμε
Nonetheless,Παρόλα αυτά
Acknowledge,"Αναγνωρίζω, παραδέχομαι"
Intervention,Παρέμβαση
Movement,Μετακίνηση
