Lottery,Λαχείο
Implement,Εφαρμόζω
Confusing,Περίπλοκος
Pick up sb,Περνάω και παίρνω κπ (με μεταφορικό μέσο)
Improperly,Λανθασμένα
Surface,Επιφάνεια
Occurence,"Περιστατικό, συμβάν"
Initially,Αρχικά
Exposure to sth,Έκθεση σε κτ
Label,Ετικέτα
Racewalking,Βάδην
Stamina,Αντοχή
Reason with sb,"Λογικεύω, μεταπείθω κπ"
Undetected,Απαρατήρητος
Chase sb/sth away,"Τρέπω σε φυγή, διώχνω κπ/κτ"
Dairy,Γαλακτοκομικός
Spin,Στριφογυρίζω
Publicise,"Γνωστοποιώ, δημοσιεύω"
Streak,Γραμμή
Tiny,Μικροσκοπικός
Burn up,Καίγομαι ολοσχερώς
Brake,Φρένο
Unbeatable,"Ανίκητος, αήττητος"
Preservative,Συντηρητικό
Saturated at ,Κορεσμένο λίπος
Calorie,Θερμίδα
Sway,"Λικνίζω, ταλαντέυω"
Hip,Γοφός
Confront sb,Αντιμετωπίζω κπ
Ruthless,Αδίστακτος
Worn out,Εξαντλημένος
Sufficient,Επαρκής
Advanced,Προχωρημένος
Top of the range,Ανώτατης ποιότητας
Motherboard,Μητρική κάρτα υπολογιστή
Cashier,Ταμίας
Voucher,(Εκπτωτικό) κουπόνι
Out of date,Άκυρος/ξεπερασμένος
Valid,Έγκυρος
Motorway ,Αυτοκινητόδρομος
Tank,Δεξαμενή
Persuade,Πείθω
You’ re on,Εντάξει
Big deal,“Σιγά τα λάχανα”
Loads of,"Πολλά, ένα σωρό"
Processor,Επεξεργαστής
Dual-core,Διπύρηνος
Decent,Κατάλληλος
Separate,Ξεχωριστός
Respectable,Ικανοποιητικός/αξιοσέβαστος
Expiry date,Ημερομηνία λήξης
Remove,Αφαιρώ
Deduct,Αφαιρώ (από ποσό)
Be short of sth,Ξεμένω από κτ
Service station,Σταθμός εξυπηρέτησης αυτοκινητιστών
Four-wheel-drive,Τετρακίνητος
Hang on,Περιμένω μισό λεπτό
Trait,"Χαρακτηριστικό γνώρισμα, στοιχείο"
Coach,Προπονητής
Cooperate with ,Συνεργάζομαι με
Ambitious,Φιλόδοξος
Embarrass sb,Φέρνω κπ σε αμηχανία
Effectively ,Αποτελεσματικά
Peer ,Συνομήλικος
Understandably,"Λογικά, δικαιολογημένα"
Vital,"Ζωτικός, απαραίτητος"
Exaggerate,Υπερβάλλω
Lack,Στερούμαι/έλλειψη
Enable,"Επιτρέπω, παρέχω τη δυνατότητα"
Exploit,Εκμεταλλεύομαι
Rebound,Ανακάπτω
Deprivation,"Έλλειψη, στέρηση"
Devote (to),Αφιερώνω (σε)
Slumber,Ύπνος
Disorder,Διαταραχή
Insomnia,Αϋπνία
Parasomnia,Νευρολογική διαταραχή ύπνου
Depression,Κατάθλιψη
Resistance,Αντίσταση
Virus,Ιός
Sustained,"Συνεχής, διαρκής"
Decline,"Μειώνομαι, ελαττώνομαι"
Mental,"Νοητικός, πνευματικός"
Core ,Πυρήνας
Insidious,"Ύπουλος, πονηρός"
Interrogation,Ανάκριση
Prolonged,Παρατεταμένος
Yield,"Αποφέρω, αποδίδω"
Drop,Πτώση
Cognitive,"Νοητικός, γνωστικός"
Accurate,"Ακριβής, σωστός"
Coherent,"Με συνοχή, λογικός"
Competence,"Ικανότητα, ευχέρεια"
Hallucination,Παραίσθηση
Maintain,"Διατηρώ, συντηρώ"
Carry out,Διεξάγω
Beyond,Πέρα από
Breaking point,Κρίσιμο σημείο
Inevitable,Αναπόφευκτος
Calamitous,Καταστροφικός
Breakdown,Κατάρρευση
Immune system,Ανοσοποιητικό σύστημα
A host of,Πλήθος από
Regenerative,Αναγεννητικός
Intense,Έντονος
Heal,Θεραπεύομαι
Attention span,Διάρκεια προσοχής
Rational,Λογικός
Obsolete,Ξεπερασμένος
Inconsistent,Ασυνεπής
Outcome ,Αποτέλεσμα
Permanent,Μόνιμος
Cease,Σταματώ
Contract,Κολλάω (ασθένεια)
Debut,Ντεμπούτο
Bronze Age,Εποχή του Χαλκού
Fashion,"Μορφοποιώ, δίνω σχήμα (με τα χέρια)"
Horn,Κέρατο
Fasten,"Κουμπώνω, στερεώνω, ασφαλίζω"
Ornamentation,"Στολισμός, διακόσμιση"
Craft guild,Συντεχνία
Craftsman,"Τεχνίτης, μάστορας"
Artisan,Τεχνίτης
Association,"Σύλλογος, ένωση"
Vast,Τεράστιος
Craft,"Μορφοποιώ, φτιάχνω κτ"
Prized ,Πολύτιμος
Bequeath,Κληροδοτώ
Will,Διαθήκη
Household inventory,Επίσημο έγγραφο απογραφής οικιακών αντικειμένων
Adorn with,Στολίζω με
Accompanying,Συνοδευτικός
Feat,"Επίτευγμα, κατόρθωμα"
Niche,Θέση (στην αγορά)
Seamstress,Μοδίστρα
Rank,Κατατάσσω
Sew,Ράβω
