Concerned,Ανήσυχος
Insult,Προσβάλλω 
Admit,Παραδέχομαι
Fine,Πρόστιμο
Procrastination,Αναβλητικότητα
Arise,"Προκύπτω, εμφανίζομαι"
Put off,Αναβάλλω
Currently,Προς το παρόν
Convince,Πείθω
Point out,Επισημαίνω
Poorly,"Άσχημα, άθλια"
Traffic officer,Τροχονόμος
Recklessly,Απρόσεχτα
Admission,"Αντίτιμο εισόδου, εισιτήριο"
Observation deck,Παρατηρητήριο
Miserable,"Σταναχωρημένος, θλιμμένος"
Challenging,"Απαιτητικός, δύσκολος"
Instalment ,Δόση
Sour,"Ξινός, πικρόχολος"
Couch potato,"Αδρανής, τεμπέλης"
Install,Εγκαθιστώ
Inspector,Επιθεωρητής
Dedicate,Αφιερώνω
Unappealing,Μη ελκυστικός
Make ends meet,Τα βγάζω πέρα (από οικονομικής άποψης)
Affect,Επηρεάζω
Smudge,Μουτζούρα
Packager,Συσκευαστής
Racket,Θόρυβος
Confiscate,Κατάσχω
Compromise,Διακινδυνεύω/συμβιβάζομαι
Plain sailing,"Εύκολος και χωρίς προβλήματα, απλός, “παιχνιδάκι”"
Abstract,Αφηρημένος
Impulsively,Αυθόρμητα
Make out sth,"Διακρίνω, ξεχωρίζω κτ"
Stargaze,Παρατηρώ τα ουράνια σώματα
Be composed of sth, Αποτελούμαι από κτ
Constellation,Αστερισμός
Row,Σειρά
Mark out sth,Σχηματίζω περίγραμμα από κτ
Shield, Ασπίδα
Curved,"Καμπυλωτός, κυρτός"
Regain,"Ανακτώ, ξανακερδίζω"
Skimmed milk,Αποβουτυρωμένο γάλα
Self-raising flour,Αλεύρι που φουσκώνει μόνο του
Plain flour,Αλεύρι για όλες τις χρήσεις
Splotch,Κηλίδα
Evoke,"Φέρνω στο νου, προκαλώ"
Stunning ,"Εκθαμβωτικός, εντυπωσιακός"
Oracle,Μάντης
Restore,"Επαναφέρω, αποκαθιστώ"
The heavens,Ο ουρανός
Sedentary,Καθιστός
High blood pressure ,Υπέταση
Appetite,Όρεξη
Obligatory,Υποχρεωτικός
Psychological counselling,Παροχή ψυχολογικής υποστήριξης
Significate ,"Σημαντικός, αξιόλογος"
Run the risk,Διατρέχω τον κίνδυνο
Obese, Παχύσαρκος
Decay,"Σάπισμα, σήψη"
Isolated ,Απομονωμένος
Conscious,Συνειδητός
Well-being,Ευημερία
Trend,"Τάση, μόδα"
Industry ,Βιομηχανία
What the future holds,Τι επιφυλάσσει το μέλλον
Interconnectivity,Διασυνδεσιμότητα
In advance ,Εκ των προτέρων
At the eleventh hour,Την τελευταία στιγμή
Security of mind,Αίσθηση ασφάλειας
Indeed,Πράγματι
Sort through sth,"Ταξινομώ, βάζω σε τάξη κτ"
Itinerary,Δρομολόγιο
Go beyond,Ξεπερνάω
Boundary,"Όριο, σύνορο"
Contemporary ,Σύγχρονος
Globetrotter,Ταξιδιάρης
Fussy,"Ιδιότροπος, απαιτητικός"
Constrain,"Συγκρατώ, περιορίζω"
Lax,Χαλαρός
Infrastructure,"Έργα υποδομής, υποδομή"
Locale,"Μέρος, τοποθεσία"
Accessible,"Προσβάσιμος, προσιτός"
Hospitality industry,"Τουριστική βιομηχανία παροχής υπηρεσιών (αναψυχής, στέγασης, μεταφοράς)"
Launch,"Λανσάρω, προωθώ"
Platform,Πλατφόρμα (ηλεκτρονική)
Influential,"Που ασκεί επιρροή, σημαντικός"
Exchange,Ανταλλάσω
Post,"Αναρτώ, “ποστάρω”"
Accountable,"Υπόλογος, υποχρεωμένος να λογοδοτήσει"
Review,"Κριτική, αξιολόγηση"
Literally,Κυριολεκτικά
Dissuade,"Αποτρέπω, μεταπείθω"
Treacherous ,"Ύπουλος, επικίνδυνος"
Corrupt,Αλλοιώνω/διαφθείρω
Occurrence ,"Περιστατικό, συμβάν"
Acquire,Αποκτώ
Heighten,"Οξύνω, εντείνω"
Awareness,Επίγνωση
Tolerance,"Αποδοχή, ανεκτικότητα"
Background,Απόβαθρο
Insurance,"Ασφάλεια, ασφάλιση"
Distrust,"Δυσπιστώ, αμφιβάλλω"
Selection,Ποικιλία/επιλογή
